"restaurant_name","address","zip_code","restaurant_style","rating_count","avg_rating","price_range","image"
"Angry Chickz","5065 Hollywood Blvd","90027","Southern Comfort Food Chicken Shop ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/jC89o6Ar88SHb3uPUZVxoQ/o.jpg"
"Myungrang Hot Dog-California Market LA","450 S Western Ave","90020","Hot Dogs ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/RyKaa2fTFJeLMjs7OkVPZA/o.jpg"
"GamBoJok","301 S Western Ave","90020","Korean ",0,0,0,"https://s3-media1.fl.yelpcdn.com/bphoto/NRc4hdeAqJzwvUd6UangRg/o.jpg"
"The Bun Shop","151 N Western Ave","90004","Korean Asian Fusion ",0,0,1,"https://s3-media4.fl.yelpcdn.com/bphoto/BmWALClO7Qxoe3kuy0Ts7A/o.jpg"
"Brick & Flour","1015 N Pacific Ave","91202","Mexican ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/LYI0Vj60o16RGOdoT76h6w/o.jpg"
"L.A. Birria","4380 W Adams Blvd","90018","Mexican Food Trucks ",0,0,1,"https://s3-media1.fl.yelpcdn.com/bphoto/OQwuJCYJxPSBwvrsu3RzWg/o.jpg"
"Pine & Crane","1521 Griffith Park Blvd","90026","Taiwanese Chinese Bubble Tea ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/qfhQJ7L0p-06T8oZRmfmGw/o.jpg"
"Dumpling House","3525 W 3rd St","90020","Korean Dim Sum Noodles ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/MKZDl1HyJFqMCRrpI8hlRA/o.jpg"
"Omakase Teriyaki","5820 Melrose Ave","90038","Steakhouses Japanese Korean ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/xI0WaDrMSUjlXCWxHhiQRg/o.jpg"
"My Two Cents","5583 W Pico Blvd","90019","Southern Seafood Soul Food ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/V0tMCKb6Fw6q8b106olFFw/o.jpg"
"Birdies","314 W Olympic Blvd","90015","Chicken Shop Donuts Coffee & Tea ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/-Y1mz47gNNmlRBKB-RJLWw/o.jpg"
"Street Food Of Seoul","3500 W 6th St","90020","Asian Fusion Korean ",0,0,1,"https://s3-media4.fl.yelpcdn.com/bphoto/9-y80PLwLcJiOepopjXhlw/o.jpg"
"The Crack Shack","10250 Santa Monica Blvd","90067","Chicken Shop Bars American (New) ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/EgToKrHyPJYCGWxwEqxqOA/o.jpg"
"Sweet Chick","448 N Fairfax Ave","90036","Southern American (New) Breakfast & Brunch ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/bd3UrSF6KomJ5LMw_D4e1g/o.jpg"
"Yuko Kitchen","5484 Wilshire Blvd","90036","Japanese ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/_ldOyQ3jOBoqxjYnR_Yupg/o.jpg"
"Corn Man","2338 Workman St","90031","Food Stands Mexican ",0,0,1,"https://s3-media1.fl.yelpcdn.com/bphoto/4L7s-o9rvdT7xz-6tNDlkg/o.jpg"
"Waku Waku Sakebar","1511 N Cahuenga Blvd","90028","Sushi Bars Ramen Poke ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/bO6vlkYrszpLa8gwW7RASA/o.jpg"
"Dirt Dog","2528 S Figueroa St","90007","Hot Dogs Beer Bar ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/AImihyOMERj8eQ8sty-KUw/o.jpg"
"Wurstküche","800 E 3rd St","90013","Hot Dogs German Gastropubs ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/gWIbvLDR1Y6yfTGTzXp_lw/o.jpg"
"The Park's Finest","1267 W Temple St","90026","Barbeque Filipino American (New) ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/BGLwxtGbhX-o2MHPTgAOrg/o.jpg"
"Burrito Bomba","8024 Lankershim Blvd","91605","Food Stands Breakfast & Brunch Mexican ",0,0,0,"https://s3-media1.fl.yelpcdn.com/bphoto/8BYXgittgByxoHmZ9oPT5Q/o.jpg"
"Savoy Kitchen","138 E Valley Blvd","91801","Singaporean Hainan ",0,0,1,"https://s3-media4.fl.yelpcdn.com/bphoto/HCP-HDFtmb3f_PWUn9jruw/o.jpg"
"Joan's on Third","8350 W 3rd St","90048","Breakfast & Brunch Cafes ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/cNUs_szx2k4jczOAlCDkBQ/o.jpg"
"Crispy School","526 S Occidental Blvd","90057","Burgers American (New) ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/qkjlp04wp9qLcw8Lr9r0sw/o.jpg"
"Philippe the Original","1001 N Alameda St","90012","Sandwiches Breakfast & Brunch American (Traditional) ",0,0,1,"https://s3-media4.fl.yelpcdn.com/bphoto/l4cf_tzaRp4iQpVVQaZsmA/o.jpg"
"Hak San - LA","3101 W 8th St","90005","Korean Barbeque ",0,0,0,"https://s3-media2.fl.yelpcdn.com/bphoto/lfhUJsxUl1c1u83Xv0-qFg/o.jpg"
"Firebirds","10324 Zelzah Ave","91326","Chicken Shop ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/S0Ms7AhJtqWfOOeIU_B04g/o.jpg"
"Monty's Good Burger","516 S Western Ave","90020","Burgers Vegan ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/AUzrhLN-tkp76TYOd4GF8g/o.jpg"
"Taqueria Los Anaya","4651 W Adams Blvd","90016","Mexican ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/T6KacOTiaa2TudDlU2lykQ/o.jpg"
"Yuk Dae Jang","3033 W 6th St","90020","Korean Comfort Food Soup ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/5y-hXEjEBMMuGJFopTuvFQ/o.jpg"
"The Kimbap","400 S Western Ave","90020","Korean ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/wfotUrj--k_DqKWncVzHaQ/o.jpg"
"Porto's Bakery & Cafe","315 N Brand Blvd","91203","Bakeries Cafes Custom Cakes ",0,0,1,"https://s3-media4.fl.yelpcdn.com/bphoto/SvfJDGzCZedYHH3cUQAlow/o.jpg"
"Guisados","8935 Santa Monica Blvd","90069","Mexican ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/UAnlaz1gAlADKnixEV8sGg/o.jpg"
"Dino's Chicken and Burgers","2575 W Pico Blvd","90006","Burgers Mexican ",0,0,1,"https://s3-media3.fl.yelpcdn.com/bphoto/qUcxN0C6hrqfw7rhMHpaLg/o.jpg"
"The Carving Board","7300 Sunset Blvd","90046","Sandwiches ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/5PAWAPwGTxITwhLviZLNVw/o.jpg"
"ixlb DimSum Eats","5900 Sunset Blvd","90028","Dim Sum ",0,0,1,"https://s3-media4.fl.yelpcdn.com/bphoto/NejEqgPK2OkZmEsliRQanQ/o.jpg"
"Slab","8136 W 3rd St","90048","Barbeque ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/xalYyO8qZi2ZpSl-zcTpIA/o.jpg"
"Barkada","1253 Vine St","90038","Tapas/Small Plates Breakfast & Brunch Filipino ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/Bh2ig0aX1fW0zQJRiqlmKA/o.jpg"
"Hollywood Burger","6250 Hollywood Blvd","90028","Breakfast & Brunch Burgers ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/i4W3HqXWLCgCfEJsn0BwsQ/o.jpg"
"Lolo","5140 W Sunset Blvd","90027","Wine Bars American (New) ",0,0,0,"https://s3-media2.fl.yelpcdn.com/bphoto/1GO71j75hlOnd4OUcwq3xw/o.jpg"
"Gus's World Famous Fried Chicken","1262 Crenshaw Blvd","90019","Southern Chicken Shop Comfort Food ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/pr_6Y4axtdl28Ghks3yzeQ/o.jpg"
"Guisados","1261 W Sunset Blvd","90026","Mexican ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/UwbMeqHMrBZBjix9pevSBw/o.jpg"
"Ave 26 Taco Stand","W Ave 26 Humboldt St","90031","Food Stands Tacos ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/49m0KkNxKzL5-gjcmbbuQQ/o.jpg"
"Sonoratown","208 E 8th St","90014","Tacos ",0,0,1,"https://s3-media4.fl.yelpcdn.com/bphoto/wOFFBVqWSzMfwx-vDbWPUw/o.jpg"
"Granny's Kitchen","5440 S Central Ave","90011","Soul Food Southern ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/iadhZ0PHvUskaACG6CbWIw/o.jpg"
"The Ramen Joint","6220 W 87th St","90045","Ramen ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/fmKroH2lcS-HmedAwRY3pg/o.jpg"
"LA Brisket","736 N Broadway","90012","Barbeque Sandwiches ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/9_lXWRAo1Mt07xveULdM3Q/o.jpg"
"Pepper Lunch","6 W Main St","91801","Japanese Steakhouses Asian Fusion ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/_ZelMAyRh0b-Grwh2OgZ6w/o.jpg"
"Mike's Deli","4859 W Slauson Ave","90056","Delis Salad Sandwiches ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/EfEo6Z2gvSw_ckpH1tsraw/o.jpg"
"LA Rose Cafe","4749 Fountain Ave","90029","Filipino ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/Bt2uwhsD_SrBEKtsYwkUAw/o.jpg"
"Burrito Bomba","8024 Lankershim Blvd","91605","Food Stands Breakfast & Brunch Mexican ",0,0,0,"https://s3-media1.fl.yelpcdn.com/bphoto/8BYXgittgByxoHmZ9oPT5Q/o.jpg"
"Savoy Kitchen","138 E Valley Blvd","91801","Singaporean Hainan ",0,0,1,"https://s3-media4.fl.yelpcdn.com/bphoto/HCP-HDFtmb3f_PWUn9jruw/o.jpg"
"Joan's on Third","8350 W 3rd St","90048","Breakfast & Brunch Cafes ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/cNUs_szx2k4jczOAlCDkBQ/o.jpg"
"Crispy School","526 S Occidental Blvd","90057","Burgers American (New) ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/qkjlp04wp9qLcw8Lr9r0sw/o.jpg"
"Philippe the Original","1001 N Alameda St","90012","Sandwiches Breakfast & Brunch American (Traditional) ",0,0,1,"https://s3-media4.fl.yelpcdn.com/bphoto/l4cf_tzaRp4iQpVVQaZsmA/o.jpg"
"Hak San - LA","3101 W 8th St","90005","Korean Barbeque ",0,0,0,"https://s3-media2.fl.yelpcdn.com/bphoto/lfhUJsxUl1c1u83Xv0-qFg/o.jpg"
"Firebirds","10324 Zelzah Ave","91326","Chicken Shop ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/S0Ms7AhJtqWfOOeIU_B04g/o.jpg"
"Monty's Good Burger","516 S Western Ave","90020","Burgers Vegan ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/AUzrhLN-tkp76TYOd4GF8g/o.jpg"
"Taqueria Los Anaya","4651 W Adams Blvd","90016","Mexican ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/T6KacOTiaa2TudDlU2lykQ/o.jpg"
"Yuk Dae Jang","3033 W 6th St","90020","Korean Comfort Food Soup ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/5y-hXEjEBMMuGJFopTuvFQ/o.jpg"
"The Kimbap","400 S Western Ave","90020","Korean ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/wfotUrj--k_DqKWncVzHaQ/o.jpg"
"Porto's Bakery & Cafe","315 N Brand Blvd","91203","Bakeries Cafes Custom Cakes ",0,0,1,"https://s3-media4.fl.yelpcdn.com/bphoto/SvfJDGzCZedYHH3cUQAlow/o.jpg"
