"restaurant_name","address","zip_code","restaurant_style","rating_count","avg_rating","price_range","image"
"Taste of Heaven","251 Jackson St","11211","Soul Food ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/SNiWVU6gk8UyVFS44LtdKg/o.jpg"
"Bread & Spread","151 Front St","11201","Coffee & Tea Breakfast & Brunch Sandwiches ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/SMT03iEizZOtc_Cwe5wQbg/o.jpg"
"Claw Daddy's","31 3rd Ave","11217","Cajun/Creole Seafood ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/ABHo2xn4dcpVspJkaQ_g-g/o.jpg"
"Hometown Bar-B-Que","454 Van Brunt St","11231","Barbeque Smokehouse ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/Eo9NJvaF8j9HLa0GX9yNUA/o.jpg"
"Dawa's","150 Greenpoint Ave","11222","Himalayan/Nepalese ",0,0,0,"https://s3-media1.fl.yelpcdn.com/bphoto/EgrHFVtp7Zhi7p2av50aYA/o.jpg"
"shabushabu Mayumon","115 Division St","10002","Japanese Hot Pot ",0,0,0,"https://s3-media4.fl.yelpcdn.com/bphoto/KMA05ZM4t6eT3xfc1sFwbw/o.jpg"
"Sweet Chick","341 Flatbush Ave","11217","American (New) Southern Bars ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/i6huGzftxzaAy_wYyoCT0g/o.jpg"
"Defontes","379 Columbia St","11231","Sandwiches ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/5ugsEHkNCFE3Y-EFTV9ypQ/o.jpg"
"Taqueria Tepango","568 Myrtle Ave","11205","Mexican ",0,0,1,"https://s3-media3.fl.yelpcdn.com/bphoto/83UDiPvmsZRg3aOewc3M4g/o.jpg"
"Xifu Food","318 Livingston St","11217","Chinese ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/SiWrJqq1wyIbUWFbhjgoXQ/o.jpg"
"Dos Toros Taqueria","137 4th Ave","10003","Mexican ",0,0,1,"https://s3-media1.fl.yelpcdn.com/bphoto/uyH20JlQ20mDWuy7Y-2r8Q/o.jpg"
"Lillo Cucina Italiana","331 Henry St","11201","Cafes Italian ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/b2MP6R0g_sfFpnLRnQSduA/o.jpg"
"Arepa Lady","77-17 37th Ave","11372","Colombian ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/LnwOdpmfH4k6M-1EEUrfSg/o.jpg"
"Jia NYC","23 Essex St","10002","Comfort Food American (New) ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/auhKOFiMg31hsub1u0YKnQ/o.jpg"
"Pure Thai Cookhouse","766 9th Ave","10019","Thai Noodles Chicken Wings ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/QFYS-7MPGlOjUUy_2TkwLw/o.jpg"
"Gotham West Market","600 11th Ave","10036","Food Court ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/lrniEesSg9zU6fwhiqRWUQ/o.jpg"
"Smorgasburg - Prospect Park","Prospect Park","11225","Street Vendors ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/_BPlRFsxHW8zEmiRx4HhSg/o.jpg"
"Otis","18 Harrison Pl","11206","American (New) Cocktail Bars ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/QO7m3zcxIFDW_8SJn8ZSwg/o.jpg"
"Noodle Pudding","38 Henry St","11201","Italian ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/o5ygMLdH6f5XVONTb3msMg/o.jpg"
"Los Papi's","77 Bridge St","11201","Latin American ",0,0,1,"https://s3-media1.fl.yelpcdn.com/bphoto/5wlzV_SLwIfAOYmfuW5EtQ/o.jpg"
"Hardee's","209 Utica Ave","11213","American (New) Chinese ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/b5or3zyWaiK1WOaX4nmoxA/o.jpg"
"Karczma","136 Greenpoint Ave","11222","Polish ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/QVyHMLVmh1qyrQnnwePifg/o.jpg"
"Plant Base","370 Pacific Ave","07304","Vegan Health Markets Organic Stores ",0,0,0,"https://s3-media4.fl.yelpcdn.com/bphoto/m35KrEi9KJaQGcoHllV-xw/o.jpg"
"El Jeffe","1483 Fulton St","11216","New Mexican Cuisine ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/hJlnefUcbPP_fKj7atN8kQ/o.jpg"
"Brooklyn Ice House","318 Van Brunt St","11231","Barbeque Pubs ",0,0,1,"https://s3-media1.fl.yelpcdn.com/bphoto/ZPgZWmntl0aSpqjyENwIIg/o.jpg"
"Roll-N-Roaster","2901 Emmons Ave","11235","American (Traditional) Sandwiches Desserts ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/3_bSphrHFTcMOFv9yQW8xA/o.jpg"
"Father Knows Best","611A Wilson Ave","11207","Bars Cafes ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/aFjQ0dF_2Er-DqYlYimkDw/o.jpg"
"Yogi Korean BBQ Tacos","49th St & 3rd Ave","10017","Street Vendors Barbeque ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/ggJiY52KmtQ5lo8wvicchg/o.jpg"
"Olive Branch Bistro","21 West End","HX7 8UQ","Coffee & Tea Turkish ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/KPKWP4wtb7kK2DEaOSXadw/o.jpg"
"Kabob Shack","182 Havemeyer St","11211","Afghan Middle Eastern Mediterranean ",0,0,1,"https://s3-media3.fl.yelpcdn.com/bphoto/Im-dHvb57pzlD5037YvS6g/o.jpg"
"Bunsmith","789 Franklin Ave","11238","Asian Fusion Korean ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/nUh1ktwT3Qjhxs3rsdO44g/o.jpg"
"A-Pou's Taste","963 Grand St","11211","Taiwanese Noodles ",0,0,1,"https://s3-media4.fl.yelpcdn.com/bphoto/xl5eqyVYo9bVVRwOMGVBgw/o.jpg"
"North Brooklyn Farms","320 Kent Ave","11249","Comfort Food Venues & Event Spaces ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/iUjvIDHg9j-8JcycPwYbcQ/o.jpg"
"The Market","372 Lafayette Ave","11238","Coffee & Tea Asian Fusion ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/z2tbdYAavft0E6SOjp-sPQ/o.jpg"
"Ramen Andante","130 Grand St","11249","Ramen ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/z5pLjrOLmb0mWJNz91rYOw/o.jpg"
"Baron's","564 Dekalb Ave","11205","American (New) Bars Seafood ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/VmnsIdc4KYNyesoruVqkrg/o.jpg"
"PhoBar","43 Mott St","10013","Vietnamese ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/loyTfWc6jVvITxv0dhIGKA/o.jpg"
"Swell Dive","1013 Bedford Ave","11205","Filipino Tacos Bars ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/39AsEgVuM0IoYjiqtxdjbQ/o.jpg"
"POST","42 Ave B","10009","Breakfast & Brunch American (Traditional) Cocktail Bars ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/lXHQtNvqo91VXU5InkIvGw/o.jpg"
"Taqueria Tlaxcalli","2103 Starling Ave","10462","Mexican ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/1476zqgP1ilbTjPrf3isRw/o.jpg"
"Okonomi","150 Ainslie St","11211","Japanese Seafood ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/Dw8nY5l1VF6U0xkCkWQxIw/o.jpg"
"Buddy's Burrito & Taco Bar","260 Court St","11231","Mexican Fast Food ",0,0,1,"https://s3-media3.fl.yelpcdn.com/bphoto/1Ado-sMP3OFd5JJ8t5JeGQ/o.jpg"
"Izzy's Brooklyn Smokehouse","397 Troy Ave","11213","Barbeque Kosher Smokehouse ",0,0,3,"https://s3-media3.fl.yelpcdn.com/bphoto/dBBk8gamo8lI0xetSbykLA/o.jpg"
"Smith Gourmet Deli","126 Smith St","11201","Sandwiches Salad Delis ",0,0,1,"https://s3-media1.fl.yelpcdn.com/bphoto/TTbFu-H9s1xfYlwl0hgW0g/o.jpg"
"Pio Pio 7","210 E 34th St","10016","Latin American Peruvian ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/KAU9yCws4Kxqh39y_ZPidg/o.jpg"
"The Binc","60 Henry St","11201","Cocktail Bars Tapas/Small Plates ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/RK3WuC6Nowcz2r2UeEO79Q/o.jpg"
"Farmer In the Deli","357 Myrtle Ave","11205","Delis Sandwiches ",0,0,1,"https://s3-media3.fl.yelpcdn.com/bphoto/Qbjg0HyhsyWjoP0DVf_ADQ/o.jpg"
"Koyo","3712 31st Ave","11103","Sushi Bars Japanese ",0,0,0,"https://s3-media3.fl.yelpcdn.com/bphoto/1cSr9h1-x8fs2gfl8cYypA/o.jpg"
"Ramen-Ya","181 W 4th St","10014","Ramen ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/hZEiAKwlClsev8mtynkGgA/o.jpg"
"Steak Freak","50 St 6th Ave","10020","Food Trucks Steakhouses ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/R8taY9toN866B91arSTMcA/o.jpg"
"Hardee's","209 Utica Ave","11213","American (New) Chinese ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/b5or3zyWaiK1WOaX4nmoxA/o.jpg"
"Karczma","136 Greenpoint Ave","11222","Polish ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/QVyHMLVmh1qyrQnnwePifg/o.jpg"
"El Jeffe","1483 Fulton St","11216","New Mexican Cuisine ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/hJlnefUcbPP_fKj7atN8kQ/o.jpg"
"Brooklyn Ice House","318 Van Brunt St","11231","Barbeque Pubs ",0,0,1,"https://s3-media1.fl.yelpcdn.com/bphoto/ZPgZWmntl0aSpqjyENwIIg/o.jpg"
"Udon West Midtown","150 E 46th St","10017","Japanese Noodles ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/Z5zM_t8F-RN2Jt0nYp4nUw/o.jpg"
"Father Knows Best","611A Wilson Ave","11207","Bars Cafes ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/aFjQ0dF_2Er-DqYlYimkDw/o.jpg"
"Coney Shack","1500 Broadway","10036","Food Trucks Mexican ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/gHZnBhXFXxL73Ym86Cedkg/o.jpg"
"Tacoway Beach","302 Beach 87th St","11693","Mexican ",0,0,1,"https://s3-media4.fl.yelpcdn.com/bphoto/2Wk-CixGIUt1SmLEbobcWQ/o.jpg"
"Yogi Korean BBQ Tacos","49th St & 3rd Ave","10017","Street Vendors Barbeque ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/ggJiY52KmtQ5lo8wvicchg/o.jpg"
"Olive Branch Bistro","21 West End","HX7 8UQ","Coffee & Tea Turkish ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/KPKWP4wtb7kK2DEaOSXadw/o.jpg"
"Kabob Shack","182 Havemeyer St","11211","Afghan Middle Eastern Mediterranean ",0,0,1,"https://s3-media3.fl.yelpcdn.com/bphoto/Im-dHvb57pzlD5037YvS6g/o.jpg"
"Bunsmith","789 Franklin Ave","11238","Asian Fusion Korean ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/nUh1ktwT3Qjhxs3rsdO44g/o.jpg"
"A-Pou's Taste","963 Grand St","11211","Taiwanese Noodles ",0,0,1,"https://s3-media4.fl.yelpcdn.com/bphoto/xl5eqyVYo9bVVRwOMGVBgw/o.jpg"
"North Brooklyn Farms","320 Kent Ave","11249","Comfort Food Venues & Event Spaces ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/iUjvIDHg9j-8JcycPwYbcQ/o.jpg"
"Chick'nCone","1000 S 8th Ave","10019","Chicken Shop Waffles ",0,0,1,"https://s3-media1.fl.yelpcdn.com/bphoto/f6K-sCa1Lqom6dbXxokQCQ/o.jpg"
"The Market","372 Lafayette Ave","11238","Coffee & Tea Asian Fusion ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/z2tbdYAavft0E6SOjp-sPQ/o.jpg"
"Ramen Andante","130 Grand St","11249","Ramen ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/z5pLjrOLmb0mWJNz91rYOw/o.jpg"
"PhoBar","43 Mott St","10013","Vietnamese ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/loyTfWc6jVvITxv0dhIGKA/o.jpg"
"Swell Dive","1013 Bedford Ave","11205","Filipino Tacos Bars ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/39AsEgVuM0IoYjiqtxdjbQ/o.jpg"
"Oasis","161 N 7th St","11211","Middle Eastern Falafel ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/Ik3akYCvCO_12vyCXx_Xug/o.jpg"
"Walter's","166 DeKalb Ave","11217","American (New) Cocktail Bars ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/QU2i56-sKKaZclcLVAea8g/o.jpg"
"POST","42 Ave B","10009","Breakfast & Brunch American (Traditional) Cocktail Bars ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/lXHQtNvqo91VXU5InkIvGw/o.jpg"
"Taqueria Tlaxcalli","2103 Starling Ave","10462","Mexican ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/1476zqgP1ilbTjPrf3isRw/o.jpg"
"Okonomi","150 Ainslie St","11211","Japanese Seafood ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/Dw8nY5l1VF6U0xkCkWQxIw/o.jpg"
"Izzy's Brooklyn Smokehouse","397 Troy Ave","11213","Barbeque Kosher Smokehouse ",0,0,3,"https://s3-media3.fl.yelpcdn.com/bphoto/dBBk8gamo8lI0xetSbykLA/o.jpg"
"Smith Gourmet Deli","126 Smith St","11201","Sandwiches Salad Delis ",0,0,1,"https://s3-media1.fl.yelpcdn.com/bphoto/TTbFu-H9s1xfYlwl0hgW0g/o.jpg"
"The Binc","60 Henry St","11201","Cocktail Bars Tapas/Small Plates ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/RK3WuC6Nowcz2r2UeEO79Q/o.jpg"
"Farmer In the Deli","357 Myrtle Ave","11205","Delis Sandwiches ",0,0,1,"https://s3-media3.fl.yelpcdn.com/bphoto/Qbjg0HyhsyWjoP0DVf_ADQ/o.jpg"
"Pado","199 2nd Ave","10003","Japanese Sushi Bars ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/QkSpyalLFRTlaaEbg3gIJw/o.jpg"
"Koyo","3712 31st Ave","11103","Sushi Bars Japanese ",0,0,0,"https://s3-media3.fl.yelpcdn.com/bphoto/1cSr9h1-x8fs2gfl8cYypA/o.jpg"
"Ramen-Ya","181 W 4th St","10014","Ramen ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/hZEiAKwlClsev8mtynkGgA/o.jpg"
"Steak Freak","50 St 6th Ave","10020","Food Trucks Steakhouses ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/R8taY9toN866B91arSTMcA/o.jpg"
"Johnny's Reef Restaurant","2 City Island Ave","10464","Seafood ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/lWGa2LItziCyeH0A3cwxOQ/o.jpg"
"Van Da","234 E 4th St","10009","Vietnamese ",0,0,0,"https://s3-media3.fl.yelpcdn.com/bphoto/a8rb2QQAk096CsR2tNF6Jg/o.jpg"
"Two 8 Two Bar & Burger","282 Atlantic Ave","11201","Burgers Bars ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/AXgXyRScYhFAYaXGtxuq_A/o.jpg"
"Royal Cuisine Yard Food","324 Utica Ave","11213","Caribbean Seafood ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/jsg844UrUnTO4snudr4tTw/o.jpg"
"Exquisite Delight","2847 Church Ave","11226","Caribbean ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/LqYEMqI0Ru30TRhU63XaqQ/o.jpg"
"The Hop Shop Brooklyn","121 Columbia St","11231","Cocktail Bars Hot Dogs ",0,0,1,"https://s3-media4.fl.yelpcdn.com/bphoto/qK5dcU1boFUUMP2wht6AEA/o.jpg"
"Yi Ji Shi Mo Noodle Corp","88 Elizabeth St","10013","Chinese ",0,0,0,"https://s3-media2.fl.yelpcdn.com/bphoto/iwzVDswesmVuBx0NBECw9Q/o.jpg"
"RYUJIN","513 Grand St","11211","Ramen Seafood Bars ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/qok9QqxbVYHMHETgZ2gs9w/o.jpg"
"Divine Flavor House","43-41 Main St","11355","Chinese ",0,0,0,"https://s3-media3.fl.yelpcdn.com/bphoto/q1wwCO1-VFkw_-08zot0ww/o.jpg"
"Ejen Korean Comfort Food","254 36th St","11232","Korean Food Stands Comfort Food ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/dN4rOIIPMhqfmm6LN5TEeQ/o.jpg"
"Black Iron Burger","245 W 38th St","10018","Burgers American (New) Beer Bar ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/031aF7_u0NDBKx2Vmrh4Fw/o.jpg"
"Fiaschetteria Pistoia","114 Christopher St","10014","Tuscan ",0,0,0,"https://s3-media4.fl.yelpcdn.com/bphoto/nRW8u3h6OSruRX3ICeMtpA/o.jpg"
"Four Five Six","199 Richardson St","11222","Bars Mediterranean ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/NK9cktavJQgXkpVvbpAH7Q/o.jpg"
"My Friend Duke","383 3rd Ave","10016","Cocktail Bars American (Traditional) ",0,0,0,"https://s3-media1.fl.yelpcdn.com/bphoto/g1m-95TkCIDN62oEsUdfkQ/o.jpg"
"The Wild Son","53 Little W 12th St","10014","American (New) Cocktail Bars Breakfast & Brunch ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/DYgwqPcb39ihBl9dw-rpqg/o.jpg"
"Snacky","187 Grand St","11211","Asian Fusion Dim Sum Korean ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/3a3ihfFB5jp8AQTj_ouZJQ/o.jpg"
"Kobeyaki","293 7th Ave","10001","Japanese Sushi Bars Burgers ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/TPhos7dF8UEafEAUWLy4hQ/o.jpg"
"Tacos El Bronco","37th St & 5th Ave","11232","Food Trucks Mexican Burgers ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/3l_xN5soFjrSzJjlY9XqWg/o.jpg"
"PhoBar","43 Mott St","10013","Vietnamese ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/loyTfWc6jVvITxv0dhIGKA/o.jpg"
"Swell Dive","1013 Bedford Ave","11205","Filipino Tacos Bars ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/39AsEgVuM0IoYjiqtxdjbQ/o.jpg"
"Pattie Hut & Grill","516 Nostrand Ave","11216","Caribbean ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/xD95xFpNicm_ee2ynkBvCQ/o.jpg"
"POST","42 Ave B","10009","Breakfast & Brunch American (Traditional) Cocktail Bars ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/lXHQtNvqo91VXU5InkIvGw/o.jpg"
"Taqueria Tlaxcalli","2103 Starling Ave","10462","Mexican ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/1476zqgP1ilbTjPrf3isRw/o.jpg"
"Okonomi","150 Ainslie St","11211","Japanese Seafood ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/Dw8nY5l1VF6U0xkCkWQxIw/o.jpg"
"Buddy's Burrito & Taco Bar","260 Court St","11231","Mexican Fast Food ",0,0,1,"https://s3-media3.fl.yelpcdn.com/bphoto/1Ado-sMP3OFd5JJ8t5JeGQ/o.jpg"
