"restaurant_name","address","zip_code","restaurant_style","rating_count","avg_rating","price_range","image"
"Dumpling House","335 Noe St","94114","Dim Sum Asian Fusion ",0,0,0,"https://s3-media2.fl.yelpcdn.com/bphoto/vdVD02yQFEjJuhoMMtNqdQ/o.jpg"
"Lou's Takeaway","621A Del Ganado Rd","94903","Comfort Food ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/jNweG5seWNtngPJm4Lqemg/o.jpg"
"Tacorea","809 Bush St","94108","Mexican Korean Latin American ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/xJUH-UAXBuIEub6HbxPKFQ/o.jpg"
"Shake Shack","1401 Larkspur Landing Cir","94939","Fast Food Burgers ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/GbHsXfhq_6fqBF0PbmDiEw/o.jpg"
"Marufuku Ramen SF","1581 Webster St","94115","Ramen ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/2lUFO5HWD7_RLDWlT5Nvuw/o.jpg"
"Forage Kitchen","478 25th St","94612","Cafes Kitchen Incubators Venues & Event Spaces ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/azLYrKgug3iex02_xKkdXw/o.jpg"
"The Bird","115 New Montgomery St","94105","Chicken Shop Sandwiches ",0,0,1,"https://s3-media1.fl.yelpcdn.com/bphoto/swsVh8zitzh6gipKB4zaUA/o.jpg"
"Noodle Station","6055 Mission St","94014","Asian Fusion Noodles ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/xeGGXcCPasUC3PvPVUx3uA/o.jpg"
"What The Cluck","1782 Haight St","94117","Thai Chicken Shop ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/GYspOJ248C__EhVgt9xuFA/o.jpg"
"San Tung","1031 Irving St","94122","Chinese Chicken Wings Noodles ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/LTtoZ25m8FX1UV37asnTCw/o.jpg"
"Sol Food","901 Lincoln Ave","94901","Latin American Puerto Rican Sandwiches ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/AY1I9x61sxD4mZjxnaMFHw/o.jpg"
"Cheese Board Pizza","1512 Shattuck Ave","94709","Pizza ",0,0,1,"https://s3-media4.fl.yelpcdn.com/bphoto/UPF6ZVXgyeR63oycPnAh_A/o.jpg"
"MaMo","3659 Buchanan St","94123","American (New) Colombian Venezuelan ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/O507g56iRMksc_6K7avpww/o.jpg"
"El Farolito","2779 Mission St","94110","Mexican ",0,0,1,"https://s3-media1.fl.yelpcdn.com/bphoto/gcC2Uwtu5raP13D3jWYm0Q/o.jpg"
"Brenda's French Soul Food","652 Polk St","94102","French Soul Food Breakfast & Brunch ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/sNIJnePGDenUOyewsD8tLg/o.jpg"
