restaurant_name,address,zip_code,restaurant_style,rating_count,avg_rating,price_range,image
The Humble Hog,125 S Market St,60957,Barbeque Beer Bar ,0,0,2,https://s3-media4.fl.yelpcdn.com/bphoto/sCONxMg5IDy4aviCs7_d0w/o.jpg
Broadway Food Hall,401 N Broadway Ave,61801,Food Court ,0,0,2,https://s3-media3.fl.yelpcdn.com/bphoto/QKpPr2bshNs1lY5GJy5Uig/o.jpg
Sticky Rice,415 N Neil St,61820,Laotian Thai Noodles ,0,0,1,https://s3-media2.fl.yelpcdn.com/bphoto/esoJhsANawKVTFfV-5iJGQ/o.jpg
The Wheelhouse,109 N Main St,61873,American (New) Breakfast & Brunch Cocktail Bars ,0,0,2,https://s3-media3.fl.yelpcdn.com/bphoto/CfbESTKe0FO6u5bq6See9w/o.jpg
Maize Mexican Grill,60 E Green Street,61820,Mexican ,0,0,1,https://s3-media2.fl.yelpcdn.com/bphoto/odzcRje-W-CGqyV8NbLYkg/o.jpg
Huaraches Moroleon,805 Philo Rd,61801,Mexican ,0,0,1,https://s3-media1.fl.yelpcdn.com/bphoto/1WFwREfQwOG1QV2mzH3Bdg/o.jpg
Caribbean Grill Restaurant,2135 S Neil St,61820,Caribbean Desserts ,0,0,1,https://s3-media1.fl.yelpcdn.com/bphoto/GNtYJ0qtgEAV-_U9gf9spQ/o.jpg
The Brown Bag Deli Restaurant,212 W Washington St,61856,American (Traditional) Delis ,0,0,1,https://s3-media2.fl.yelpcdn.com/bphoto/fW29_GSMFNlVImRp_XJSqw/o.jpg
Everyday Kitchen Restaurant & Bar,1807 S Neil St,61820,American (Traditional) Cocktail Bars ,0,0,2,https://s3-media3.fl.yelpcdn.com/bphoto/M-1GfWaQ3f6z2BlAgnrZUg/o.jpg
Mr. Crab,401 South 1st St,61820,Seafood Cajun/Creole ,0,0,0,https://s3-media4.fl.yelpcdn.com/bphoto/iRinMEiVB0vdZQLpKYij3A/o.jpg
Bearology,608 E University Ave,61820,Bubble Tea ,0,0,0,https://s3-media4.fl.yelpcdn.com/bphoto/HGSV-UJOg-eL-hdHT_cudg/o.jpg
Pink Pig BBQ,2698 County Road 1600 N,61859,Barbeque ,0,0,2,https://s3-media2.fl.yelpcdn.com/bphoto/MqwyPc_0fHwxH2o4NDTYpA/o.jpg
Mas Amigos,705 N Neil St,61820,Mexican ,0,0,0,https://s3-media2.fl.yelpcdn.com/bphoto/fu9ecgV1RaqVEMXjPUg5xQ/o.jpg
Black Dog Smoke & Ale House,201 N Broadway Ave,61801,Barbeque American (Traditional) ,0,0,2,https://s3-media1.fl.yelpcdn.com/bphoto/lJOnFchw-mzW6H5IdKh8Zg/o.jpg
Butcher Boy Burgers,422 S Garrard St,61866,Burgers ,0,0,1,https://s3-media3.fl.yelpcdn.com/bphoto/lzQfn3RXvk7qg2wYZfyL0w/o.jpg
Casa Fiesta,215 E Sangamon Ave,61866,Mexican ,0,0,0,https://s3-media1.fl.yelpcdn.com/bphoto/c_5MykW9rv48lC20107nFQ/o.jpg
Harvest Ale House,102 S Market St,60957,American (New) Bars ,0,0,2,https://s3-media1.fl.yelpcdn.com/bphoto/v7lqevex5w9yihnDlHGVNw/o.jpg
Meat Science Laboratory,1503 South Maryland Ave,61801,Meat Shops ,0,0,2,https://s3-media2.fl.yelpcdn.com/bphoto/khwh5fzMB9dubfP89xUglA/o.jpg
Sakanaya,403 E Green St,61820,Japanese Sushi Bars ,0,0,2,https://s3-media2.fl.yelpcdn.com/bphoto/cHogr6eHY3Jd8lgM27j_uA/o.jpg
Ott's Drive In,400 N Century Blvd,61866,American (Traditional) ,0,0,1,https://s3-media1.fl.yelpcdn.com/bphoto/qJ1lKhvGgyb6nnzAF8eA6A/o.jpg
Golden Harbor Authentic Chinese Cuisine,505 S Neil St,61820,Chinese Taiwanese ,0,0,2,https://s3-media3.fl.yelpcdn.com/bphoto/wpb6dG94-ECAdzF2z1OYkA/o.jpg
Tks Cheesesteak,112 E Congress Ave,61866,Cheesesteaks Chicken Wings Food Trucks ,0,0,1,https://s3-media2.fl.yelpcdn.com/bphoto/ootHRtrWF2u1fQp7swp5tw/o.jpg
Agave,405 S Century Blvd,61866,Mexican ,0,0,1,https://s3-media2.fl.yelpcdn.com/bphoto/tTyNxxOwVsiUYQgdzqsBsQ/o.jpg
Industrial Donut,501 Commerce Dr,61874,Donuts Coffee & Tea ,0,0,0,https://s3-media2.fl.yelpcdn.com/bphoto/HA5_hC_h3XnwNiGlxU-MhQ/o.jpg
DESTIHL Restaurant & Brew Works,301 N Neil St,61820,American (New) Brewpubs ,0,0,2,https://s3-media4.fl.yelpcdn.com/bphoto/itAKUSMr9tD13qhtAJI6GQ/o.jpg
Jipbap Taste of Korea,601 S 6th St,61820,Korean ,0,0,1,https://s3-media1.fl.yelpcdn.com/bphoto/FsV99DzMt_nhiCGXbVvL_g/o.jpg
The Pantry,1199 Tuscola Blvd,61953,Sandwiches ,0,0,2,https://s3-media4.fl.yelpcdn.com/bphoto/8Ur92f6CA1SANFvRubdY_Q/o.jpg
Fernando's Food,44 E Sprinfield,61820,Food Trucks Mexican ,0,0,1,https://s3-media3.fl.yelpcdn.com/bphoto/s6neDI4X_Pnn5ZSohVWWNA/o.jpg
Cracked the Egg Came First,619 E Green St,61820,Coffee & Tea Breakfast & Brunch Food Trucks ,0,0,1,https://s3-media4.fl.yelpcdn.com/bphoto/lUz5NPQS7KWpIgZV-gjkXQ/o.jpg
San Maru,2504 Village Green Pl,61822,Korean ,0,0,2,https://s3-media2.fl.yelpcdn.com/bphoto/wAWgEcC5jxNGzQ1Nbvfd-g/o.jpg
Wood N' Hog Barbecue,904 N 4th Street,61820,Barbeque Chicken Wings ,0,0,2,https://s3-media2.fl.yelpcdn.com/bphoto/kzGA1OUO0FxMBz9BQChddg/o.jpg
Cravings,603 S Wright St,61820,Chinese Pan Asian ,0,0,1,https://s3-media3.fl.yelpcdn.com/bphoto/chY5KM74iiXjZwSWxbYQAQ/o.jpg
Billy Bob's,105 E Broadway St,61859,American (Traditional) Bars ,0,0,2,https://s3-media4.fl.yelpcdn.com/bphoto/d85g7mAYDg85IMafTN-knQ/o.jpg
Monarch Brewing,212 South Independence St,61856,Brewpubs Venues & Event Spaces ,0,0,2,https://s3-media1.fl.yelpcdn.com/bphoto/OCaJi6uuRe0hE93g4a_J0w/o.jpg
Taste Of Thai,124 E Sangamon Ave,61866,Thai Asian Fusion Vietnamese ,0,0,1,https://s3-media4.fl.yelpcdn.com/bphoto/KoQ7Csj2dBP7uMl_9pT3GQ/o.jpg
Charlie's Grub & Suds,106 West 1st St,61849,Barbeque American (Traditional) Italian ,0,0,1,https://s3-media1.fl.yelpcdn.com/bphoto/-9AVKtxGV9OHb4Won8x7bQ/o.jpg
Basil Thai Kitchen,2000 N Neil St,61820,Thai ,0,0,0,https://s3-media2.fl.yelpcdn.com/bphoto/U-y3qXMqzvEstL5OoA1LzQ/o.jpg
Thara Thai,912 1/2 W Bloomington Rd,61821,Thai Salad Noodles ,0,0,2,https://s3-media4.fl.yelpcdn.com/bphoto/Il_L5s_aVZ7ScDl7uuuNeg/o.jpg
NAYA,212 E Green St,61820,Italian Asian Fusion ,0,0,0,https://s3-media2.fl.yelpcdn.com/bphoto/QqfKaIX_yX4oc_aVPDPvqg/o.jpg
Punch!,217 N Neil St,61820,Bars American (Traditional) ,0,0,0,https://s3-media4.fl.yelpcdn.com/bphoto/wY3nXJgrgGzjiY_9yxmvng/o.jpg
Scratch,227 E Lincoln St,61873,American (Traditional) Seafood Sandwiches ,0,0,0,https://s3-media3.fl.yelpcdn.com/bphoto/5B3zAnXFzaUBkdeKfOHx0A/o.jpg
Dumpling Noodle BBQ,715 S Neil St,61820,Noodles Barbeque Chinese ,0,0,0,https://s3-media1.fl.yelpcdn.com/bphoto/FwnFJ27_FP0_Zg610WMv9Q/o.jpg
Black Dog Smoke & Ale House,320 N Chestnut St,61820,Barbeque Bars ,0,0,2,https://s3-media3.fl.yelpcdn.com/bphoto/4b5reQvrRdyEmF8eWLfQXQ/o.jpg
Seven Saints,32 E Chester St,61820,American (Traditional) Pubs Lounges ,0,0,2,https://s3-media1.fl.yelpcdn.com/bphoto/OQkuCXRZaKHs_mM8lh3GWA/o.jpg
Mid-Summer Lounge,623 E Green St,61820,Chinese Asian Fusion Noodles ,0,0,1,https://s3-media2.fl.yelpcdn.com/bphoto/zTOFyEFlmUK9wleJboCRkA/o.jpg
