"restaurant_name","address","zip_code","restaurant_style","rating_count","avg_rating","price_range","image"
"SPICY FINGERS  Seafood Kitchen","1549 W Chicago Ave","60642","Seafood Cajun/Creole Pan Asian ",0,0,0,"https://s3-media3.fl.yelpcdn.com/bphoto/4sFkcS1EUAcxIdRx7h8c_A/o.jpg"
"Forastero","449 W North Ave","60610","Korean Tacos Asian Fusion ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/DtQhR2GZxhv1o1Nkw7JH4A/o.jpg"
"Girl & the Goat","809 W Randolph St","60607","American (New) Bakeries Coffee & Tea ",0,0,3,"https://s3-media1.fl.yelpcdn.com/bphoto/ya6gjD4BPlxe7AKMj_5WsA/o.jpg"
"Fatso's Last Stand","2258 W Chicago Ave","60622","Hot Dogs Burgers Fast Food ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/QLIfu26RCBMKnIQgyJ0uuQ/o.jpg"
"Crisp","2940 N Broadway Ave","60657","Korean Chicken Wings ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/CnRIO7IzEAAZ6rGu0kAPtw/o.jpg"
"The Purple Pig","444 N Michigan Ave","60611","Tapas/Small Plates Mediterranean Breakfast & Brunch ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/Qf9YAh6piSujT5F1T6PALg/o.jpg"
"MCCB Chicago 时尚食谱","2138 South Archer Ave","60616","Chinese ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/UBz1-aQ-G6MUS7zgpGROsw/o.jpg"
"Three Wheels Noodle","2339 N Milwaukee Ave","60647","Thai ",0,0,0,"https://s3-media2.fl.yelpcdn.com/bphoto/WJC6cheklenofUmD1Uh_aw/o.jpg"
"Aloha Wagon","1247 S Western Ave","60608","Filipino Mexican Hawaiian ",0,0,1,"https://s3-media3.fl.yelpcdn.com/bphoto/MR9vsGDVBMLPG6m163GSxA/o.jpg"
"Pequod's Pizzeria","2207 N Clybourn Ave","60614","Pizza ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/jlB3XA4XnnoU6omD9TSk5Q/o.jpg"
"Portillo's Hot Dogs","100 W Ontario","60654","Hot Dogs Salad Burgers ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/-9jRmNrw7QgjcUn_EXVsEA/o.jpg"
"YY Hot Pot","1343 W 18th St","60608","Chinese Hot Pot ",0,0,0,"https://s3-media1.fl.yelpcdn.com/bphoto/wbRGPLA6BvBaFJtqXBU25w/o.jpg"
"Seoul Taco","738 N Clark St","60654","Korean Mexican Asian Fusion ",0,0,1,"https://s3-media4.fl.yelpcdn.com/bphoto/HzNDt-sXgFepGLXYtFEBcA/o.jpg"
"Barbaro","2525 W North Ave","60647","Mexican Cocktail Bars ",0,0,0,"https://s3-media3.fl.yelpcdn.com/bphoto/YxXxSUTjtzQX_Bt-c474wA/o.jpg"
"En Hakkore 2.0","1467 N Milwaukee Ave","60622","Asian Fusion Poke Sushi Bars ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/qXOKGJQlWho6lHiY9usKMQ/o.jpg"
"Del Seoul","2568 N Clark St","60614","Korean Asian Fusion American (New) ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/teJbIElaB4O0fk2aD7JtPA/o.jpg"
"Wynwood","1560 N Milwaukee Ave","60622","American (New) Cocktail Bars ",0,0,0,"https://s3-media4.fl.yelpcdn.com/bphoto/OBm2PQrwz1wswz3FRwVimQ/o.jpg"
"Small Cheval","1732 N Milwaukee Ave","60647","Burgers American (Traditional) ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/iq2e8vXzq5ZYtewIge2wzw/o.jpg"
"Au Cheval","800 W Randolph St","60607","Bars Burgers American (Traditional) ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/a0yhvSJX_6i28iwS9egDFg/o.jpg"
"Wonder Chop","2418 W Fullerton Ave","60647","Chinese Japanese Sushi Bars ",0,0,0,"https://s3-media3.fl.yelpcdn.com/bphoto/HP_Xf9xrrrdYMjZbft4Uig/o.jpg"
"The Sala Pao Shop","1909 N Western Ave","60647","Thai ",0,0,0,"https://s3-media1.fl.yelpcdn.com/bphoto/Vh4W7HAlfIW9UWIjsJuuoA/o.jpg"
"Tortello","1746 W Division St","60622","Pasta Shops Italian ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/HXhXK96nO5Hs5qj0cr-lFQ/o.jpg"
"The Whale Chicago","2427 N Milwaukee Ave","60647","American (New) ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/_IM1aGLcgBM5F-c0PMd90A/o.jpg"
"Nini's Deli","543 N Noble St","60642","Sandwiches Empanadas Coffee & Tea ",0,0,1,"https://s3-media3.fl.yelpcdn.com/bphoto/7Rep6irkZ1DHGdx58OX9vw/o.jpg"
"Taco Loco Of Pilsen","2022 S Leavitt St","60608","Tacos Street Vendors ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/xKPoteEKnqHhOnu0B0fLJg/o.jpg"
"Velvet Taco","1110 N State St","60610","American (New) Tacos Breakfast & Brunch ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/j6POHJXJKnGaBbzKQtP0CQ/o.jpg"
"Sea & Olive","1938 W Division St","60622","Mediterranean Greek American (New) ",0,0,0,"https://s3-media3.fl.yelpcdn.com/bphoto/ySEg4-l-dXWFuqdx2YVl7Q/o.jpg"
"Landbirds","2532 N California Ave","60647","Chicken Wings Asian Fusion ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/rUBXAbcqu3fFMbT19-nkgA/o.jpg"
"Cracked on Milwaukee","1359 N Milwaukee Ave","60622","Breakfast & Brunch Coffee & Tea Burgers ",0,0,0,"https://s3-media4.fl.yelpcdn.com/bphoto/8gLZf5YQ3YZhwghIkw1y_g/o.jpg"
"Aloha Eats","2534 N Clark St","60614","Hawaiian Barbeque ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/B-2ZW08v1yKrII9Itm_btQ/o.jpg"
"En Hakkore","1840 N Damen Ave","60647","Korean Tacos ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/5LMPIu2EyJThalqxPMS6CA/o.jpg"
"Smoque BBQ","3800 N Pulaski Rd","60641","Barbeque ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/T-oNCsrLiZc2lwrI3r9phQ/o.jpg"
"Qing Xiang Yuan Dumplings","2002 S Wentworth Ave","60616","Chinese Barbeque Soup ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/xaAWx4r7FLBJOo2m_yS7VA/o.jpg"
"Fry the Coop","5128 W 95th St","60453","American (Traditional) Waffles Sandwiches ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/sqxWvpM9Tzn1T9dgvhHkPw/o.jpg"
"Feed","2803 W Chicago Ave","60622","Southern Breakfast & Brunch Diners ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/PWuuC2pNngV-SXpzH4vl-A/o.jpg"
"Serai","2169 N Milwaukee Ave","60647","Malaysian Asian Fusion Desserts ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/gpf3Bs4El0FNxiZ6bBu4Mg/o.jpg"
"JJ Thai Street Food","1715 W Chicago Ave","60622","Thai ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/ZVHyRnVDuLekDCvdTfU9aw/o.jpg"
"Robert's Pizza & Dough Company","465 N McClurg","60611","Pizza ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/z5Y31-0LSESL8cLqLW1dAw/o.jpg"
"Chicago Taco Authority","4219 W Irving Park Rd","60641","Tacos ",0,0,1,"https://s3-media1.fl.yelpcdn.com/bphoto/1rMnh1O4tbB30MbOsIlNRw/o.jpg"
"Caspian Kabab Fine Persian Cuisine","1413 N Ashland Ave","60622","Persian/Iranian ",0,0,1,"https://s3-media3.fl.yelpcdn.com/bphoto/QpU-WK0gpcP8lV6Va6zufw/o.jpg"
"Hangry's","5000 W Fullerton","60639","American (Traditional) Salad Chicken Shop ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/Q_NokBDL6aW2S6BpwdfuQQ/o.jpg"
"CJ’s Chicken","229 S Western Ave","60612","Chicken Shop ",0,0,0,"https://s3-media1.fl.yelpcdn.com/bphoto/JxV_s975Ke3d1U8wBZP4tA/o.jpg"
"Antique Taco","1360 N Milwaukee Ave","60622","Mexican Venues & Event Spaces ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/Lguf1qEnrVsTrbWoFux18g/o.jpg"
"Chilango Mexican Street Food","1437 W Taylor St","60607","Mexican ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/dwN7Lj5yOM9Y5HFTf6tGTg/o.jpg"
"La Sandwichera","2721 W Division St","60622","Sandwiches ",0,0,0,"https://s3-media2.fl.yelpcdn.com/bphoto/ShUO31m7UuQDwsosyN8Fbg/o.jpg"
"The Crab Pad","2529 N Milwaukee Ave","60647","Seafood Cajun/Creole Desserts ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/uWB1yIE-Co8tcJrRPhe8_Q/o.jpg"
"90 Miles Cuban Café","2540 W Armitage Ave","60647","Cuban Sandwiches Cafes ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/tjk8iFdqHro7ItdZ_GxSuQ/o.jpg"
"The Little Pickle","3703 W Fullerton Ave","60647","Sandwiches ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/qULL4O15hjZyTKoRLVvwkA/o.jpg"
"SafeHouse Chicago","60 E Ontario St","60611","Bars Burgers Sandwiches ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/96uW4oQBPUSOLqELlHPGvg/o.jpg"
"etta","1840 W North Ave","60622","American (New) Breakfast & Brunch ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/_4ISoEtv-OBSi8s_C4L_mQ/o.jpg"
"The Sala Pao Shop","1909 N Western Ave","60647","Thai ",0,0,0,"https://s3-media1.fl.yelpcdn.com/bphoto/Vh4W7HAlfIW9UWIjsJuuoA/o.jpg"
